StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,120,120,347,1621.76,4.673659942363113
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,74,74,160,763.6600000000001,4.772875000000001
21708,FOLDING UMBRELLA CREAM POLKADOT,65,65,190,863.11,4.542684210526316
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,59,59,133,607.23,4.565639097744361
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,45,45,107,501.98,4.691401869158879
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,36,36,104,513.02,4.932884615384615
21713,CITRONELLA CANDLE FLOWERPOT,160,160,779,1804.2900000000002,2.316161745827985
21714,CITRONELLA CANDLE GARDEN POT,230,230,1637,2993.15,1.8284361637141113
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,231,231,1330,3507.17,2.63696992481203
21716,BOYS VINTAGE TIN SEASIDE BUCKET,245,245,1433,3893.3199999999997,2.716901605024424
21717,EASTER TIN BUCKET,41,41,408,946.9300000000001,2.3209068627450984
21718,RED METAL BEACH SPADE ,230,230,1493,2113.39,1.4155324849296718
21719,LOVELY BONBON STICKER SHEET,58,58,345,307.44,0.8911304347826087
21720,CAKE SHOP  STICKER SHEET,8,8,57,48.449999999999996,0.85
21721,CANDY SHOP  STICKER SHEET,33,33,195,179.45999999999998,0.9203076923076922
21722,SWEET PUDDING STICKER SHEET,37,37,97,94.67999999999999,0.976082474226804
21723,ALPHABET HEARTS STICKER SHEET,59,59,401,353.47999999999996,0.8814962593516209
21724,PANDA AND BUNNIES STICKER SHEET,81,81,408,355.83,0.8721323529411764
21725,SWEETIES  STICKERS,50,50,301,277.24,0.921063122923588
21726,MULTI HEARTS  STICKERS,42,42,237,204.69,0.8636708860759493
21730,GLASS STAR FROSTED T-LIGHT HOLDER,121,121,504,2450.78,4.8626587301587305
21731,RED TOADSTOOL LED NIGHT LIGHT,853,853,13823,23651.679999999997,1.7110381248643562
21733,RED HANGING HEART T-LIGHT HOLDER,740,740,7825,23075.79,2.948982747603834
21735,TWO DOOR CURIO CABINET,95,95,179,2194.5,12.259776536312849
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,6,6,77,136.05,1.766883116883117
21738,COSY SLIPPER SHOES SMALL  RED ,21,21,48,150.48000000000002,3.1350000000000002
21739,COSY SLIPPER SHOES SMALL GREEN,111,111,256,708.98,2.769453125
21741,COSY SLIPPER SHOES LARGE GREEN,40,40,147,480.1700000000001,3.2664625850340143
21742,LARGE ROUND WICKER PLATTER ,90,90,195,1173.53,6.018102564102564
21743,STAR PORTABLE TABLE LIGHT ,51,51,291,864.0500000000001,2.9692439862542956
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,127,127,531,1563.5500000000002,2.9445386064030137
21745,GAOLERS KEYS DECORATIVE GARDEN ,214,214,934,3471.98,3.717323340471092
21746,SMALL RED RETROSPOT WINDMILL,229,229,3060,3748.18,1.2248954248366013
21747,SMALL SKULL WINDMILL,55,55,473,630.61,1.3332135306553912
21749,LARGE RED RETROSPOT WINDMILL,140,140,1955,3860.2900000000004,1.9745728900255757
21750,LARGE SKULL WINDMILL,24,24,91,209.61,2.3034065934065935
21754,HOME BUILDING BLOCK WORD,786,786,2760,16931.32,6.1345362318840575
21755,LOVE BUILDING BLOCK WORD,629,629,2030,12548.91,6.181729064039409
21756,BATH BUILDING BLOCK WORD,271,271,821,5077.66,6.184725943970768
21757,LIGHTHOUSE PRINTED METAL SIGN,3,3,6,29.700000000000003,4.95
21758,VINTAGE SHELLS PRINT,32,32,50,427.46000000000004,8.5492
21761,WOOD AND GLASS MEDICINE CABINET,10,10,10,299.5,29.95
21763,VINTAGE WOODEN BAR STOOL,4,4,6,169.75,28.291666666666668
21769,VINTAGE POST OFFICE CABINET,2,2,11,607.6500000000001,55.2409090909091
21770,OPEN CLOSED METAL SIGN,387,387,1635,7909.08,4.8373577981651374
21773,DECORATIVE ROSE BATHROOM BOTTLE,163,163,1170,1154.17,0.9864700854700855
21774,DECORATIVE CATS BATHROOM BOTTLE,187,187,1094,1151.15,1.0522394881170019
21775,DECORATIVE FLORE BATHROOM BOTTLE,140,140,512,713.11,1.39279296875
21777,RECIPE BOX WITH METAL HEART,8,8,7,55.650000000000006,7.950000000000001
21781,MA CAMPAGNE CUTLERY BOX,106,106,148,2393.6,16.17297297297297
21784,SHOE SHINE BOX ,45,45,55,613.17,11.148545454545454
21785,RAIN PONCHO ,4,4,412,269.61,0.6543932038834952
21786,POLKADOT RAIN HAT ,226,226,1918,909.01,0.4739363920750782
21787,RAIN PONCHO RETROSPOT,244,244,8350,6743.65,0.807622754491018
21788,KIDS RAIN MAC BLUE,88,88,1275,1014.14,0.7954039215686275
21789,KIDS RAIN MAC PINK,94,94,908,789.1999999999999,0.8691629955947135
21790,VINTAGE SNAP CARDS,920,920,14443,12443.71,0.8615737727618915
21791,VINTAGE HEADS AND TAILS CARD GAME ,609,609,7853,10490.65,1.3358780084044313
21792,CLASSIC FRENCH STYLE BASKET GREEN ,76,76,335,1439.77,4.297820895522388
21793,CLASSIC FRENCH STYLE BASKET BROWN,69,69,304,1296.6100000000001,4.265164473684211
21794,CLASSIC FRENCH STYLE BASKET NATURAL,108,108,519,2201.57,4.241946050096339
21801,CHRISTMAS TREE DECORATION WITH BELL,124,124,1215,515.14,0.4239835390946502
21802,CHRISTMAS TREE HEART DECORATION,181,181,2124,919.98,0.433135593220339
21803,CHRISTMAS TREE STAR DECORATION,198,198,2390,1031.56,0.43161506276150624
21804,WHITE CHRISTMAS GARLAND STARS TREES,65,65,225,830.03,3.689022222222222
21807,WHITE CHRISTMAS STAR DECORATION,30,30,439,189.42,0.43148063781321183
21808,"CHRISTMAS GARLAND STARS,TREES",48,48,181,641.58,3.544640883977901
21809,CHRISTMAS HANGING TREE WITH BELL,117,117,1966,1119.56,0.5694608341810783
21810,CHRISTMAS HANGING STAR WITH BELL,250,250,5886,2949.04,0.5010261637784573
21811,HANGING HEART WITH BELL,243,243,4806,2668.68,0.5552808988764044
21812,GARLAND WITH HEARTS AND BELLS,103,103,380,1681.92,4.426105263157895
21813,GARLAND WITH STARS AND BELLS,114,114,542,2245.82,4.143579335793358
21814,HEART T-LIGHT HOLDER ,15,15,78,117.57,1.5073076923076922
21815,STAR  T-LIGHT HOLDER ,29,29,159,271.68,1.7086792452830188
21816,CHRISTMAS TREE T-LIGHT HOLDER,7,7,34,49.3,1.45
21817,GLITTER CHRISTMAS TREE,58,58,912,414.63,0.4546381578947368
21818,GLITTER HEART DECORATION,162,162,2740,1322.5,0.48266423357664234
21819,GLITTER CHRISTMAS STAR ,123,123,2473,1067.82,0.4317913465426607
21820,GLITTER HEART GARLAND WITH BELLS ,91,91,302,1267.22,4.196092715231788
21821,GLITTER STAR GARLAND WITH BELLS ,63,63,239,992.05,4.150836820083682
21822,GLITTER CHRISTMAS TREE WITH BELLS,99,99,737,754.75,1.0240841248303936
21823,PAINTED METAL HEART WITH HOLLY BELL,97,97,1373,854.7399999999999,0.6225345957756736
21824,PAINTED METAL STAR WITH HOLLY BELLS,116,116,1893,1068.01,0.56418911780243
21826,EIGHT PIECE DINOSAUR SET,36,36,122,181.43,1.4871311475409836
21827,EIGHT PIECE CREEPY CRAWLIE SET,3,3,6,7.5,1.25
21828,EIGHT PIECE SNAKE  SET,84,84,333,439.54,1.31993993993994
21829,DINOSAUR KEYRINGS ASSORTED,176,176,6765,1460.74,0.21592609016999262
21830,ASSORTED CREEPY CRAWLIES,97,97,2621,1107.07,0.42238458603586415
21832,CHOCOLATE CALCULATOR,199,199,935,1758.7499999999998,1.8810160427807485
21833,CAMOUFLAGE LED TORCH,170,170,2696,4543.73,1.6853597922848662
21836,GINGHAM OVEN GLOVE RED HEART ,3,3,5,26.490000000000002,5.298
21839,,1,1,1,5.45,5.45
21841,BABY MOUSE RED GINGHAM DRESS,21,21,74,314.5,4.25
21843,RED RETROSPOT CAKE STAND,570,570,1691,18884.75,11.167800118273211
21844,RED RETROSPOT MUG,166,166,1828,5112.04,2.7965207877461706
21845,DAIRY MAID STRIPE MUG,90,90,1855,1645.45,0.8870350404312669
21846,PINK DIAMANTE PEN IN GIFT BOX,101,101,412,1147.57,2.785364077669903
21847,GREEN  DIAMANTE PEN IN GIFT BOX,33,33,76,178.89,2.353815789473684
21849,SILVER DIAMANTE PEN IN GIFT BOX,65,65,175,558.83,3.193314285714286
21850,BLUE  DIAMANTE PEN IN GIFT BOX,53,53,94,340.08,3.617872340425532
21851,LILAC DIAMANTE PEN IN GIFT BOX,63,63,141,454.99,3.2268794326241137
21864,UNION JACK FLAG PASSPORT COVER ,184,184,809,2001.79,2.4744004944375773
21865,PINK UNION JACK  PASSPORT COVER ,106,106,274,625.23,2.281861313868613
21866,UNION JACK FLAG LUGGAGE TAG,193,193,750,1296.13,1.7281733333333336
21867,PINK UNION JACK  LUGGAGE TAG,121,121,353,486.5,1.3781869688385269
21868,POTTING SHED TEA MUG,310,310,2394,3162.84,1.3211528822055139
21870,I CAN ONLY PLEASE ONE PERSON MUG,166,166,1389,1828.96,1.3167458603311735
21871,SAVE THE PLANET MUG,355,355,4769,5940.27,1.245600754875236
21872,GLAMOROUS  MUG,142,142,1280,1442.26,1.126765625
21873,IF YOU CAN'T STAND THE HEAT MUG,120,120,1530,1737.98,1.1359346405228758
21874,GIN AND TONIC MUG,301,301,2959,4122.22,1.3931125380196012
21875,KINGS CHOICE MUG,151,151,2027,2394.38,1.181243216576221
21876,POTTERING MUG,337,337,3754,4775.61,1.2721390516782098
21877,HOME SWEET HOME MUG,359,359,4366,5808.01,1.3302817224003665
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,226,226,2511,2162.0,0.8610115491835922
21879,HEARTS GIFT TAPE,94,94,1178,386.77000000000004,0.3283276740237691
21880,RED RETROSPOT TAPE,241,241,1891,850.98,0.4500158646218932
21881,CUTE CATS TAPE,79,79,1102,383.11,0.3476497277676951
21882,SKULLS TAPE,70,70,706,252.47000000000003,0.3576062322946176
21883,STARS GIFT TAPE ,134,134,1652,725.23,0.439001210653753
21884,CAKES AND BOWS GIFT  TAPE,93,93,1166,413.76,0.3548542024013722
21888,BINGO SET,379,379,1675,6610.79,3.946740298507463
21889,WOODEN BOX OF DOMINOES,583,583,6376,8829.79,1.384847867001255
21890,S/6 WOODEN SKITTLES IN COTTON BAG,235,235,1146,3671.06,3.203368237347295
21891,TRADITIONAL WOODEN SKIPPING ROPE,429,429,8099,10466.68,1.2923422644770959
21892,TRADITIONAL WOODEN CATCH CUP GAME ,413,413,3183,4305.91,1.3527835375431982
21894,POTTING SHED SEED ENVELOPES,130,130,597,908.33,1.521490787269682
21895,POTTING SHED SOW 'N' GROW SET,2,2,2,12.72,6.36
21896,POTTING SHED TWINE,112,112,978,2269.34,2.32038854805726
21897,POTTING SHED CANDLE CITRONELLA,3,3,405,1268.1899999999998,3.131333333333333
21898,POTTING SHED ROSE CANDLE,25,25,493,1541.11,3.1259837728194726
21899,GARAGE KEY FOB,282,282,2641,1733.2700000000002,0.6562930708065128
21900,"KEY FOB , SHED",374,374,3229,2197.82,0.6806503561474141
21901,"KEY FOB , BACK DOOR ",309,309,1823,1274.64,0.6991991223258366
21902,"KEY FOB , FRONT  DOOR ",211,211,1966,1264.97,0.6434231943031536
21903,MAN FLU METAL SIGN,182,182,1149,2467.03,2.147110530896432
21904,HOUSE WRECKING METAL SIGN ,23,23,51,107.10000000000001,2.1
21905,MORE BUTTER METAL SIGN ,160,160,761,823.71,1.0824047306176086
21906,PHARMACIE FIRST AID TIN,179,179,564,4356.06,7.723510638297873
21907,I'M ON HOLIDAY METAL SIGN,369,369,2360,5004.080000000001,2.1203728813559324
21908,CHOCOLATE THIS WAY METAL SIGN,467,467,3747,7701.820000000001,2.055463037096344
21910,WAY OUT METAL SIGN ,8,8,36,59.39999999999999,1.6499999999999997
21911,GARDEN METAL SIGN ,30,30,102,183.40999999999997,1.7981372549019605
21912,VINTAGE SNAKES & LADDERS,391,391,1790,7062.7,3.9456424581005587
21913,VINTAGE SEASIDE JIGSAW PUZZLES,146,146,395,1554.58,3.935645569620253
21914,BLUE HARMONICA IN BOX ,598,598,7843,10298.56,1.3130893790641336
21915,RED  HARMONICA IN BOX ,664,664,21866,26247.83,1.2003946766669715
21916,SET 12 RETRO WHITE CHALK STICKS,360,360,4576,1963.83,0.4291586538461538
21917,SET 12 KIDS  WHITE CHALK STICKS,225,225,4143,1698.57,0.4099855177407675
21918,SET 12 KIDS COLOUR  CHALK STICKS,370,370,7184,2943.95,0.4097925946547884
21922,UNION STRIPE WITH FRINGE  HAMMOCK,206,206,899,6952.31,7.733381535038933
21925,UNION STRIPE CUSHION COVER ,67,67,397,496.25,1.25
21926,RED/CREAM STRIPE CUSHION COVER ,62,62,400,492.4,1.2309999999999999
21927,BLUE/CREAM STRIPE CUSHION COVER ,99,99,584,722.4,1.236986301369863
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,803,803,10205,20670.02,2.0254796668299853
21929,JUMBO BAG PINK VINTAGE PAISLEY,866,866,10785,22794.07,2.1134974501622623
21930,JUMBO STORAGE BAG SKULLS,701,701,6447,14024.92,2.175418023887079
21931,JUMBO STORAGE BAG SUKI,1189,1189,13320,30167.79,2.264849099099099
21932,SCANDINAVIAN PAISLEY PICNIC BAG,444,444,2691,4946.63,1.8382125603864734
21933,PINK VINTAGE PAISLEY PICNIC BAG,411,411,2663,4929.58,1.8511378144949304
21934,SKULL SHOULDER BAG,411,411,2411,4463.78,1.8514226462048942
21935,SUKI  SHOULDER BAG,528,528,3392,6296.96,1.8564150943396227
21936,RED RETROSPOT PICNIC BAG,540,540,3931,11513.99,2.929023149325871
21937,STRAWBERRY   PICNIC BAG,251,251,1692,4854.599999999999,2.8691489361702125
21942,SKULLS DESIGN FLANNEL,102,102,275,302.81,1.1011272727272727
21943,CAKES AND RABBITS DESIGN FLANNEL ,50,50,119,134.48999999999998,1.1301680672268906
21944,KITTENS DESIGN FLANNEL,100,100,337,310.19,0.9204451038575667
21945,STRAWBERRIES  DESIGN FLANNEL ,105,105,358,373.34,1.042849162011173
21946,PARTY TIME DESIGN FLANNEL,25,25,86,75.35,0.8761627906976743
21947,SET OF 6 HEART CHOPSTICKS,152,152,813,1142.15,1.4048585485854859
21948,SET OF 6 CAKE CHOPSTICKS,153,153,641,979.48,1.52804992199688
21949,SET OF 6 STRAWBERRY CHOPSTICKS,144,144,801,1054.44,1.3164044943820226
21955,DOORMAT UNION JACK GUNS AND ROSES,206,206,1230,7597.02,6.176439024390244
21967,PACK OF 12 SKULL TISSUES,232,232,5275,1583.4099999999999,0.3001725118483412
21972,SET OF 36 DINOSAUR PAPER DOILIES,67,67,333,496.17999999999995,1.49003003003003
21973,SET OF 36 MUSHROOM PAPER DOILIES,31,31,158,229.1,1.45
21974,SET OF 36 PAISLEY FLOWER DOILIES,362,362,2158,3457.1499999999996,1.6020157553290082
21975,PACK OF 60 DINOSAUR CAKE CASES,596,596,12269,6081.85,0.49570869671529877
21976,PACK OF 60 MUSHROOM CAKE CASES,395,395,5201,2871.0,0.5520092289944242
21977,PACK OF 60 PINK PAISLEY CAKE CASES,863,863,24753,12189.470000000001,0.49244414818405857
21980,PACK OF 12 RED RETROSPOT TISSUES ,300,300,6555,2083.48,0.3178459191456903
21981,PACK OF 12 WOODLAND TISSUES ,272,272,5475,1652.6299999999999,0.3018502283105023
21982,PACK OF 12 SUKI TISSUES ,356,356,7611,2303.75,0.302686900538694
21983,PACK OF 12 BLUE PAISLEY TISSUES ,156,156,2277,770.7099999999999,0.3384760649978041
21984,PACK OF 12 PINK PAISLEY TISSUES ,214,214,3413,1099.55,0.32216525051274536
21985,PACK OF 12 HEARTS DESIGN TISSUES ,426,426,8803,2737.6299999999997,0.31098829944337153
21986,PACK OF 12 PINK POLKADOT TISSUES,189,189,4067,1197.73,0.29449963117777234
21987,PACK OF 6 SKULL PAPER CUPS,173,173,2100,1338.2,0.6372380952380953
21988,PACK OF 6 SKULL PAPER PLATES,193,193,2321,1862.75,0.8025635501938819
21989,PACK OF 20 SKULL PAPER NAPKINS,335,335,2412,2235.65,0.9268864013266999
21990,MODERN FLORAL STATIONERY SET,362,362,1667,2865.45,1.7189262147570485
21991,BOHEMIAN COLLAGE STATIONERY SET,211,211,623,1065.82,1.7107865168539325
21992,VINTAGE PAISLEY STATIONERY SET,435,435,1913,3529.12,1.8448092002090957
21993,FLORAL FOLK STATIONERY SET,424,424,1931,3348.34,1.7339927498705334
22016,Dotcomgiftshop Gift Voucher £100.00,1,1,1,83.33,83.33
22021,BLUE FELT EASTER EGG BASKET,71,71,365,610.4499999999999,1.6724657534246574
22023,EMPIRE BIRTHDAY CARD,147,147,1206,538.72,0.44669983416252074
22024,RAINY LADIES BIRTHDAY CARD,214,214,2418,1028.77,0.4254631927212572
22025,RING OF ROSES BIRTHDAY CARD,131,131,1835,761.05,0.4147411444141689
22026,BANQUET BIRTHDAY  CARD  ,161,161,1644,712.08,0.4331386861313869
22027,TEA PARTY BIRTHDAY CARD,365,365,4224,1821.87,0.4313139204545454
22028,PENNY FARTHING BIRTHDAY CARD,263,263,3042,1304.1399999999999,0.4287113740959894
22029,SPACEBOY BIRTHDAY CARD,527,527,8173,3392.61,0.4150997185855867
22030,SWALLOWS GREETING CARD,274,274,5551,2247.97,0.40496667267159064
22031,BOTANICAL LAVENDER BIRTHDAY CARD,81,81,492,220.55,0.44827235772357726
22032,BOTANICAL LILY GREETING CARD,60,60,427,181.98,0.42618266978922714
22033,BOTANICAL ROSE GREETING CARD,22,22,337,141.95000000000002,0.42121661721068254
22034,ROBIN CHRISTMAS CARD,5,5,-2,-0.019999999999999796,0.009999999999999898
22035,VINTAGE CARAVAN GREETING CARD ,137,137,1464,622.36,0.42510928961748634
22037,ROBOT BIRTHDAY CARD,354,354,3977,1715.48,0.4313502640181041
22038,BOTANICAL LAVENDER GIFT WRAP ,19,19,475,199.5,0.42
22039,BOTANICAL LILY GIFT WRAP,8,8,225,94.5,0.42
22040,BOTANICAL ROSE GIFT WRAP,28,28,725,304.5,0.42
22041,"RECORD FRAME 7"" SINGLE SIZE ",362,362,4336,11260.810000000001,2.5970502767527677
22042,CHRISTMAS CARD SINGING ANGEL,40,40,399,168.33,0.42187969924812035
22043,CHRISTMAS CARD SCREEN PRINT ,64,64,1238,304.5,0.24596122778675283
22044,CHRISTMAS CARD STACK OF PRESENTS,36,36,816,196.44000000000003,0.2407352941176471
22045,SPACEBOY GIFT WRAP,208,208,6477,2652.34,0.40950131233595805
22046,TEA PARTY  WRAPPING PAPER ,73,73,2216,914.72,0.4127797833935018
22047,EMPIRE GIFT WRAP,107,107,3400,1384.0,0.40705882352941175
22048,BIRTHDAY BANQUET GIFT WRAP,33,33,950,383.0,0.4031578947368421
22049,WRAP CHRISTMAS SCREEN PRINT,33,33,1050,285.75,0.27214285714285713
22050,PINK PAISLEY ROSE GIFT WRAP,41,41,1200,488.0,0.4066666666666667
22051,BLUE SCANDINAVIAN PAISLEY WRAP,39,39,1000,420.0,0.42
22052,VINTAGE CARAVAN GIFT WRAP,27,27,600,252.0,0.42
22053,EMPIRE DESIGN ROSETTE,29,29,4243,3605.1699999999996,0.8496747584256421
22055,MINI CAKE STAND  HANGING STRAWBERY,224,224,1359,2048.74,1.5075349521707135
22057,CERAMIC PLATE STRAWBERRY DESIGN,64,64,536,596.4,1.112686567164179
22059,CERAMIC STRAWBERRY DESIGN MUG,179,179,1766,2058.48,1.1656172140430352
22060,LARGE CAKE STAND HANGING HEARTS,39,39,217,1031.75,4.7546082949308754
22061,LARGE CAKE STAND  HANGING STRAWBERY,160,160,567,4078.96,7.193932980599647
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,74,74,582,677.03,1.1632817869415808
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,125,125,584,1370.4,2.3465753424657536
22064,PINK DOUGHNUT TRINKET POT ,253,253,1698,2498.6,1.4714958775029445
22065,CHRISTMAS PUDDING TRINKET POT ,248,248,6729,3448.81,0.5125293505721504
22066,LOVE HEART TRINKET POT,137,137,2250,1049.1,0.4662666666666666
22067,CHOC TRUFFLE GOLD TRINKET POT ,72,72,406,636.1199999999999,1.56679802955665
22068,BLACK PIRATE TREASURE CHEST,145,145,518,841.93,1.6253474903474903
22069,BROWN  PIRATE TREASURE CHEST ,146,146,416,996.8,2.396153846153846
22070,SMALL RED RETROSPOT MUG IN BOX ,119,119,653,2021.6100000000001,3.095880551301685
22071,SMALL WHITE RETROSPOT MUG IN BOX ,89,89,444,1207.55,2.719707207207207
22072,RED RETROSPOT TEA CUP AND SAUCER ,169,169,835,2759.92,3.305293413173653
22073,RED RETROSPOT STORAGE JAR,71,71,324,1298.64,4.008148148148148
22074,6 RIBBONS SHIMMERING PINKS ,200,200,1391,1221.52,0.8781595974119338
22075,6 RIBBONS ELEGANT CHRISTMAS ,200,200,1788,2483.54,1.3890044742729306
22076,6 RIBBONS EMPIRE  ,225,225,1260,1669.5299999999997,1.3250238095238094
22077,6 RIBBONS RUSTIC CHARM,956,956,9149,17149.27,1.874442015520822
22078,RIBBON REEL LACE DESIGN ,192,192,1381,2948.41,2.1349818971759595
22079,RIBBON REEL HEARTS DESIGN ,322,322,1881,3298.89,1.7537958532695375
22080,RIBBON REEL POLKADOTS ,156,156,1211,2011.73,1.66121387283237
22081,RIBBON REEL FLORA + FAUNA ,135,135,644,1176.5,1.8268633540372672
22082,RIBBON REEL STRIPES DESIGN ,407,407,2693,4683.33,1.739075380616413
22083,PAPER CHAIN KIT RETROSPOT,615,615,4602,13994.34,3.0409256844850066
22084,PAPER CHAIN KIT EMPIRE,438,438,5148,15002.02,2.914145299145299
22085,PAPER CHAIN KIT SKULLS ,97,97,548,1566.99,2.859470802919708
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1151,1151,18902,63791.94,3.374877790709978
22087,PAPER BUNTING WHITE LACE,323,323,4013,11669.43,2.9079068028906057
22088,PAPER BUNTING COLOURED LACE,239,239,1837,5511.85,3.000462710941753
22089,PAPER BUNTING VINTAGE PAISLEY,272,272,1424,4460.38,3.132289325842697
22090,PAPER BUNTING RETROSPOT,798,798,7492,22594.56,3.0158248798718637
22091,EMPIRE TISSUE BOX,166,166,1984,1024.47,0.5163659274193548
22092,BLUE PAISLEY TISSUE BOX,89,89,672,322.18,0.47943452380952384
22093,MOTORING TISSUE BOX,161,161,1823,809.08,0.4438178826110807
22094,RED RETROSPOT TISSUE BOX,205,205,2107,1098.23,0.5212292358803987
22095,LADS ONLY TISSUE BOX,139,139,1641,1599.35,0.9746191346739792
22096,PINK PAISLEY SQUARE TISSUE BOX ,117,117,1367,584.48,0.42756400877834677
22097,SWALLOW SQUARE TISSUE BOX,146,146,1600,735.6700000000001,0.45979375000000006
22098,BOUDOIR SQUARE TISSUE BOX,178,178,1919,973.08,0.5070766023970819
22099,CARAVAN SQUARE TISSUE BOX,154,154,1437,793.4,0.5521224773834377
22100,SKULLS SQUARE TISSUE BOX,59,59,757,356.46000000000004,0.470885072655218
22101,MIRROR MOSAIC VOTIVE HOLDER,68,68,1114,1926.81,1.7296319569120286
22102,MIRROR MOSAIC T-LIGHT HOLDER ,30,30,902,551.04,0.6109090909090908
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,27,27,778,726.38,0.9336503856041131
22104,MIRROR MOSAIC CANDLE PLATE,59,59,288,343.71,1.1934375
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,32,32,334,619.8199999999999,1.8557485029940117
22106,MIRROR MOSAIC HURRICANE LAMP ,47,47,228,741.63,3.2527631578947367
22107,PIZZA PLATE IN BOX,183,183,573,2081.81,3.633176265270506
22108,PING! MICROWAVE PLATE,62,62,152,415.09,2.7308552631578946
22109,FULL ENGLISH BREAKFAST PLATE,300,300,1609,6814.26,4.235090118085767
22110,BIRD HOUSE HOT WATER BOTTLE,280,280,1171,4909.59,4.19264730999146
22111,SCOTTIE DOG HOT WATER BOTTLE,774,774,4537,23965.39,5.282210711924179
22112,CHOCOLATE HOT WATER BOTTLE,861,861,5898,32317.300000000003,5.4793658867412685
22113,GREY HEART HOT WATER BOTTLE,565,565,3204,12701.08,3.9641323345817727
22114,HOT WATER BOTTLE TEA AND SYMPATHY,642,642,5666,32692.49,5.769941757853865
22115,METAL SIGN EMPIRE TEA,228,228,1549,2020.91,1.3046546158812138
22116,METAL SIGN HIS DINNER IS SERVED,148,148,563,610.22,1.0838721136767318
22117,METAL SIGN HER DINNER IS SERVED ,94,94,1320,3896.45,2.9518560606060604
22118,JOY WOODEN BLOCK LETTERS,89,89,232,901.46,3.8856034482758623
22119,PEACE WOODEN BLOCK LETTERS,104,104,350,1759.62,5.027485714285714
22120,WELCOME  WOODEN BLOCK LETTERS,189,189,514,5157.54,10.034124513618677
22121,NOEL WOODEN BLOCK LETTERS ,133,133,352,2159.7000000000003,6.135511363636365
22123,PING MICROWAVE APRON,122,122,509,1069.1699999999998,2.1005304518664043
22124,SET OF 2 TEA TOWELS PING MICROWAVE,76,76,150,309.11,2.0607333333333333
22125,UNION JACK HOT WATER BOTTLE ,3,3,13,139.86,10.758461538461539
22127,PARTY CONES CARNIVAL ASSORTED,22,22,404,504.88,1.2497029702970297
22128,PARTY CONES CANDY ASSORTED,79,79,1706,2057.53,1.2060550996483002
22129,PARTY CONES CANDY DECORATION,100,100,1194,1231.52,1.0314237855946398
22130,PARTY CONE CHRISTMAS DECORATION ,112,112,2132,2560.1,1.200797373358349
22131,FOOD CONTAINER SET 3 LOVE HEART ,289,289,2038,3950.24,1.9382924435721294
22132,RED LOVE HEART SHAPE CUP,155,155,1026,928.8299999999999,0.9052923976608186
22133,PINK LOVE HEART SHAPE CUP,133,133,816,770.73,0.9445220588235295
22134,MINI LADLE LOVE HEART RED ,162,162,890,419.42,0.47125842696629217
22135,MINI LADLE LOVE HEART PINK,179,179,568,322.8,0.5683098591549296
22136,LOVE HEART SOCK HANGER,85,85,378,679.4799999999999,1.7975661375661374
22137,BATHROOM SET LOVE HEART DESIGN,14,14,82,237.98000000000002,2.9021951219512196
22138,BAKING SET 9 PIECE RETROSPOT ,951,951,4880,23928.620000000003,4.903405737704919
22139,RETROSPOT TEA SET CERAMIC 11 PC ,978,978,4485,22717.510000000002,5.065219620958752
22141,CHRISTMAS CRAFT TREE TOP ANGEL,455,455,2780,6440.6900000000005,2.316794964028777
22142,CHRISTMAS CRAFT WHITE FAIRY ,375,375,3239,4934.59,1.5234918184624884
22144,CHRISTMAS CRAFT LITTLE FRIENDS,545,545,4038,9588.78,2.3746359583952454
22145,,1,1,30,63.0,2.1
22146,,1,1,1,1.95,1.95
22147,FELTCRAFT BUTTERFLY HEARTS,480,480,5353,7523.29,1.4054343358864188
22148,EASTER CRAFT 4 CHICKS ,188,188,1924,3899.9,2.026975051975052
22149,FELTCRAFT 6 FLOWER FRIENDS,552,552,5455,11215.58,2.056018331805683
22150,3 STRIPEY MICE FELTCRAFT,467,467,3019,5903.94,1.9555945677376614
22151,PLACE SETTING WHITE HEART,336,336,14260,6010.33,0.42148176718092567
22152,PLACE SETTING WHITE STAR,107,107,2404,1051.82,0.43752911813643924
22153,ANGEL DECORATION STARS ON DRESS,134,134,2583,1104.85,0.4277390631049167
22154,ANGEL DECORATION 3 BUTTONS ,165,165,3742,1635.41,0.43704168893639767
22155,STAR DECORATION RUSTIC,141,141,2406,1114.29,0.4631296758104738
22156,HEART DECORATION WITH PEARLS ,265,265,2093,2026.62,0.9682847587195412
22157,ANGEL DECORATION WITH LACE PADDED,11,11,212,180.2,0.85
